Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Peak Freq (Hz)	High Freq (Hz)	Delta Time (s)	File Offset (s)	Begin Path	Begin File	Class	Sound type	Comments
1	Spectrogram 1	1	9.753681034	9.984592044	25.0	38.1	208.6	0.231	9.754	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
2	Spectrogram 1	1	10.825108118	11.074492008	33.4	38.1	233.7	0.249	10.825	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish?	grunt	
3	Spectrogram 1	1	15.012927892	15.225366020	25.9	35.2	511.3	0.212	15.013	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
4	Spectrogram 1	1	15.419331268	15.539404993	25.9	38.1	330.1	0.120	15.419	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
5	Spectrogram 1	1	15.687188039	15.816498204	22.7	38.1	320.4	0.129	15.687	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
6	Spectrogram 1	1	16.222901580	16.342975305	25.9	29.3	346.3	0.120	16.223	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
7	Spectrogram 1	1	16.915634608	17.026471893	22.7	35.2	339.8	0.111	16.916	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
8	Spectrogram 1	1	17.423638829	17.534476114	22.7	29.3	359.2	0.111	17.424	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
9	Spectrogram 1	1	22.051095456	22.300479346	29.1	38.1	359.2	0.249	22.051	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	double
10	Spectrogram 1	1	22.762301365	22.891611530	35.6	38.1	187.7	0.129	22.762	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
11	Spectrogram 1	1	23.713654723	23.889147091	25.9	35.2	229.8	0.175	23.714	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
12	Spectrogram 1	1	25.607125000	25.736435165	32.4	38.1	320.4	0.129	25.607	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
13	Spectrogram 1	1	25.782617367	26.484586835	25.9	79.1	362.5	0.702	25.783	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
14	Spectrogram 1	1	26.927935973	27.084955460	22.7	38.1	326.9	0.157	26.928	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish?	knock	
15	Spectrogram 1	1	28.381769397	28.529552443	25.9	35.2	414.2	0.148	28.382	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
16	Spectrogram 1	1	29.379304957	29.517851562	19.4	20.5	414.2	0.139	29.379	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
17	Spectrogram 1	1	30.136693068	30.469204921	29.1	38.1	430.4	0.333	30.137	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
18	Spectrogram 1	1	31.790015894	32.057872665	29.1	38.1	407.8	0.268	31.790	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	double
19	Spectrogram 1	1	32.528931124	32.963043822	25.9	79.1	414.2	0.434	32.529	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
20	Spectrogram 1	1	32.999989583	34.348509878	22.7	85.0	446.6	1.349	33.000	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt-grumble	series
21	Spectrogram 1	1	34.736440374	36.454418283	22.7	79.1	423.9	1.718	34.736	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	series
22	Spectrogram 1	1	36.528309806	36.685329292	22.7	35.2	456.3	0.157	36.528	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
23	Spectrogram 1	1	37.211806394	37.350352999	29.1	35.2	453.1	0.139	37.212	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
24	Spectrogram 1	1	37.673628412	37.923012302	22.7	35.2	427.2	0.249	37.674	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	double
25	Spectrogram 1	1	39.354660560	39.502443606	22.7	35.2	398.1	0.148	39.355	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
26	Spectrogram 1	1	41.168715158	41.298025323	32.4	38.1	216.8	0.129	41.169	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
27	Spectrogram 1	1	52.548009698	52.788157148	29.1	35.2	203.9	0.240	52.548	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
